episode,scenario_id,target_load,actual_load,memory_load,core_load,reward,objective,balance_score,success_rate,failure_rate,vgpu_success_rate,vgpu_failure_rate,allocated_count,failure_count,allocated_vgpu_count,failure_vgpu_count,total_vgpu_count,num_gpus,num_pods,steps,loss,epsilon,eval_objective,eval_balance_score,eval_success_rate,eval_failure_rate,eval_vgpu_success_rate,eval_vgpu_failure_rate,eval_checkpoint_score,eval_conflict_objective,eval_conflict_intra_gpu_balance_score,eval_lowmid_objective,best_eval_objective,best_checkpoint_score
60,train-load-0.6-scenario-82-retry-6,0.6,0.5,0.23333333333333334,0.5,16.363802426780047,1.3314501018896636,0.6685498981103364,1.0,0.0,1.0,0.0,10,0,10,0,10,5,10,10,0.6075791120529175,0.7402609576967045,,,,,,,,,,,-1e+18,-1e+18
61,train-load-0.7-scenario-356,0.7,0.75,0.25,0.75,22.891077668635422,1.354931997773822,0.645068002226178,1.0,0.0,1.0,0.0,15,0,15,0,15,5,15,15,0.8139474391937256,0.736559652908221,,,,,,,,,,,-1e+18,-1e+18
62,train-load-0.6-scenario-423,0.6,0.5244219999999999,0.5244219999999999,0.4621902,11.95810750400609,1.3833026253145766,0.6166973746854235,1.0,0.0,1.0,0.0,6,0,8,0,8,5,6,6,0.5756881833076477,0.7328768546436799,,,,,,,,,,,-1e+18,-1e+18
63,train-load-0.9-scenario-90-retry-1,0.9,0.96875,0.2,0.96875,0.33858544193695983,-0.8967216240659523,0.67449940184373,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,4,5,4,5,9,8,9,4,0.32976406812667847,0.7292124703704616,,,,,,,,,,,-1e+18,-1e+18
64,train-load-1.0-scenario-348-retry-1,1.0,0.99848175,0.619901875,0.99848175,5.735968759013977,0.018762114685805242,0.6479045519808614,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,6,3,6,3,9,4,9,6,0.7062842845916748,0.7255664080186093,,,,,,,,,,,-1e+18,-1e+18
65,train-load-0.7-scenario-273-retry-1,0.7,0.7619047619047619,0.7619047619047619,0.22857142857142856,4.292900407070164,-0.11245919624292244,0.6124591962429224,0.625,0.375,0.625,0.375,5,3,5,3,8,7,8,5,0.5605951547622681,0.7219385759785162,,,,,,,,,,,-1e+18,-1e+18
66,train-load-0.7-scenario-678-retry-1,0.7,0.6,0.4,0.6,20.17790077606204,1.5566869341875766,0.4433130658124233,1.0,0.0,1.0,0.0,12,0,12,0,12,5,12,12,0.5972481369972229,0.7183288830986236,,,,,,,,,,,-1e+18,-1e+18
67,train-load-0.5-scenario-415,0.5,0.5714285714285714,0.22857142857142856,0.5714285714285714,11.66968442452595,1.048002790885072,0.4519972091149279,0.875,0.125,0.875,0.125,7,1,7,1,8,7,8,7,0.41197288036346436,0.7147372386831305,,,,,,,,,,,-1e+18,-1e+18
68,train-load-0.9-scenario-435-retry-1,0.9,1.0,0.3,1.0,-6.905308384250206,-2.301769461416735,0.3017694614167353,0.0,1.0,0.0,1.0,0,8,0,8,8,8,8,0,0.3655388355255127,0.7111635524897149,,,,,,,,,,,-1e+18,-1e+18
69,train-load-0.5-scenario-669-retry-1,0.5,0.479875,0.34013229166666664,0.479875,11.270533824289465,1.5523821388692869,0.4476178611307132,1.0,0.0,1.0,0.0,5,0,5,0,5,4,5,5,0.6569793820381165,0.7076077347272662,,,,,,,,,,,-1e+18,-1e+18
