episode,scenario_id,target_load,actual_load,memory_load,core_load,reward,objective,balance_score,success_rate,failure_rate,vgpu_success_rate,vgpu_failure_rate,allocated_count,failure_count,allocated_vgpu_count,failure_vgpu_count,total_vgpu_count,num_gpus,num_pods,steps,loss,epsilon,eval_objective,eval_balance_score,eval_success_rate,eval_failure_rate,eval_vgpu_success_rate,eval_vgpu_failure_rate,eval_checkpoint_score,eval_conflict_objective,eval_conflict_intra_gpu_balance_score,eval_lowmid_objective,best_eval_objective,best_checkpoint_score
67,train-load-0.9-scenario-569-retry-1,0.9,0.8962452,0.5379766666666667,0.8962452,9.478179985112188,0.5852750750845004,0.5258360360266109,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.2222222222222222,7,2,7,2,9,5,9,7,0.6748634576797485,0.7147372386831305,,,,,,,,,,,-1e+18,-1e+18
68,train-load-0.6-scenario-632,0.6,0.586856625,0.39342604166666667,0.586856625,13.907205308502746,1.1276889892482111,0.8723110107517889,1.0,0.0,1.0,0.0,9,0,10,0,10,8,9,9,0.2799624800682068,0.7111635524897149,,,,,,,,,,,-1e+18,-1e+18
69,train-load-0.9-scenario-219-retry-5,0.9,0.88,0.6666666666666666,0.88,4.594173608699592,-0.11375957887965371,0.6137595788796537,0.625,0.375,0.6,0.4,5,3,6,4,10,5,8,5,0.3804234266281128,0.7076077347272662,,,,,,,,,,,-1e+18,-1e+18
70,train-load-0.8-scenario-504,0.8,0.7186886666666666,0.5905012500000001,0.7186886666666666,14.626245587385583,0.999365148638202,0.6369984877254342,0.9090909090909091,0.09090909090909091,0.8333333333333334,0.16666666666666666,10,1,10,2,12,6,11,10,0.3129039406776428,0.7040696960536299,,,,,,,,,,,-1e+18,-1e+18
71,train-load-0.7-scenario-164,0.7,0.7146002000000001,0.3623695,0.7146002000000001,5.25777896895679,0.304859930247173,1.0284734030861604,0.8333333333333334,0.16666666666666666,0.7142857142857143,0.2857142857142857,5,1,5,2,7,5,6,5,0.8994489908218384,0.7005493475733617,,,,,,,,,,,-1e+18,-1e+18
72,train-load-0.8-scenario-255,0.8,0.9166666666666666,0.6666666666666666,0.9166666666666666,6.068940024740693,-0.015118268354052167,0.4151182683540521,0.6,0.4,0.6,0.4,6,4,6,4,10,6,10,6,0.5181800127029419,0.697046600835495,,,,,,,,,,,-1e+18,-1e+18
73,train-load-1.0-scenario-224-retry-1,1.0,1.05,0.75,1.05,11.368868239604389,0.7326141899506903,0.4673858100493098,0.8,0.2,0.8,0.2,8,2,8,2,10,4,10,8,0.49421676993370056,0.6935613678313175,,,,,,,,,,,-1e+18,-1e+18
74,train-load-0.6-scenario-698,0.6,0.5278768571428571,0.41153946428571425,0.5278768571428571,12.996883243339912,1.226986277519834,0.773013722480166,1.0,0.0,1.0,0.0,8,0,9,0,9,7,8,8,0.40119388699531555,0.6900935609921609,,,,,,,,,,,-1e+18,-1e+18
75,train-load-1.0-scenario-718,1.0,0.972503875,0.6812510416666666,0.972503875,14.090590590173612,0.5389374476365725,0.6039196952205704,0.7857142857142857,0.21428571428571427,0.7222222222222222,0.2777777777777778,11,3,13,5,18,8,14,11,0.4972289800643921,0.6866430931872001,,,,,,,,,,,-1e+18,-1e+18
76,train-load-1.0-scenario-147-retry-1,1.0,0.91378175,0.499979375,0.91378175,6.949239987295829,0.5906563013257491,0.7426770320075843,0.8333333333333334,0.16666666666666666,0.7142857142857143,0.2857142857142857,5,1,5,2,7,4,6,5,0.37767213582992554,0.6832098777212641,,,,,,,,,,,-1e+18,-1e+18
77,train-load-0.9-scenario-620,0.9,0.79013925,0.6791603125,0.79013925,12.489674479469926,0.363535164733853,0.7793219781232898,0.7857142857142857,0.21428571428571427,0.7647058823529411,0.23529411764705882,11,3,13,4,17,8,14,11,0.4696216881275177,0.6797938283326578,,,,,,,,,,,-1e+18,-1e+18
78,train-load-0.9-scenario-541,0.9,0.7927025999999999,0.4664935,0.7927025999999999,12.553929302739983,1.3958513902288538,0.6041486097711462,1.0,0.0,1.0,0.0,7,0,8,0,8,5,7,7,0.28830835223197937,0.6763948591909945,,,,,,,,,,,-1e+18,-1e+18
79,train-load-0.8-scenario-202,0.8,0.7196872500000001,0.6666842187500001,0.7196872500000001,16.438997112626936,0.8582469861479053,0.5703244424235231,0.8571428571428571,0.14285714285714285,0.8,0.2,12,2,12,3,15,8,14,12,0.5704801082611084,0.6730128848950395,,,,,,,,,,,-1e+18,-1e+18
80,train-load-0.8-scenario-96,0.8,0.7234139999999999,0.5128334375,0.7234139999999999,7.277450967809009,0.6860965732132371,0.6472367601200962,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.16666666666666666,5,1,5,1,6,4,6,5,0.4110536575317383,0.6696478204705644,,,,,,,,,,,-1e+18,-1e+18
81,train-load-0.9-scenario-582,0.9,0.9125,0.9125,0.875,17.01599313369455,0.4989869410565234,0.44838147999610806,0.7368421052631579,0.2631578947368421,0.7368421052631579,0.2631578947368421,14,5,14,5,19,8,19,14,0.5364311933517456,0.6662995813682115,,,,,,,,,,,-1e+18,-1e+18
82,train-load-0.7-scenario-62,0.7,0.6885331666666668,0.35427291666666666,0.6885331666666668,6.357109784882976,0.4827426740320598,0.8505906593012736,0.8333333333333334,0.16666666666666666,0.8571428571428571,0.14285714285714285,5,1,6,1,7,6,6,5,0.5547411441802979,0.6629680834613705,,,,,,,,,,,-1e+18,-1e+18
83,train-load-0.6-scenario-438,0.6,0.7,0.5833333333333334,0.7,23.89318466282677,1.6885157344036437,0.3114842655963563,1.0,0.0,1.0,0.0,14,0,14,0,14,4,14,14,0.7679902911186218,0.6596532430440636,,,,,,,,,,,-1e+18,-1e+18
84,train-load-0.8-scenario-651,0.8,0.69416375,0.348895,0.69416375,6.1262289024048,0.6741202535798773,0.5258797464201227,0.8,0.2,0.8,0.2,4,1,4,1,5,4,5,4,0.4277636408805847,0.6563549768288433,,,,,,,,,,,-1e+18,-1e+18
85,train-load-0.9-scenario-560-retry-3,0.9,1.0,0.7166666666666667,1.0,3.0656137617677595,-0.537601879196344,0.537601879196344,0.5,0.5,0.5454545454545454,0.45454545454545453,5,5,6,5,11,5,10,5,0.545728862285614,0.653073201944699,,,,,,,,,,,-1e+18,-1e+18
86,train-load-0.8-scenario-360,0.8,0.68,0.68,0.34,25.963533396386588,1.4163961791849737,0.5836038208150263,1.0,0.0,1.0,0.0,17,0,17,0,17,5,17,17,0.5115816593170166,0.6498078359349755,,,,,,,,,,,-1e+18,-1e+18
